package,count,api
com.jayway.jsonpath,16,com.jayway.jsonpath:json-path
org.apache.http,39,org.apache.httpcomponents:httpcore
org.sonar.plugins.java,5,org.sonarsource.java:java-frontend
com.fasterxml.jackson.core,91,com.fasterxml.jackson.core:jackson-core
edu.uci.ics.jung.graph,4,net.sf.jung:jung-graph-impl
com.opencsv,11,org.liquibase:liquibase-core
org.rocksdb,7,org.rocksdb:rocksdbjni
gate.creole,1,uk.ac.gate:gate-core
rx.functions,9,io.reactivex:rxjava
com.almasb.fxgl.net,1,com.github.almasb:fxgl-io
org.picocontainer,3,org.picocontainer:picocontainer
org.jboss.aerogear.security.otp,1,org.jboss.aerogear:aerogear-otp-java
org.fife.rsta.ui,1,com.fifesoft:rstaui
eu.chargetime.ocpp.wss,1,eu.chargetime.ocpp:OCPP-J
org.mozilla.javascript,10,com.yahoo.platform.yui:yuicompressor
org.codehaus,2,org.apache.hive:hive-exec
com.chrisnewland.freelogj,1,com.chrisnewland:FreeLogJ
org.springframework.security.jwt.crypto,3,org.springframework.security:spring-security-jwt
org.powermock.api.mockito,26,org.powermock:powermock-api-mockito2
org.apache.lucene.store,26,org.apache.lucene:lucene-core
org.apache.hadoop.fs,23,org.apache.hadoop:hadoop-common
oshi.util,11,com.github.oshi:oshi-json
org.apache.flink.streaming.util.serialization,1,org.apache.flink:flink-streaming-java_2.11
org.codehaus.plexus.util,17,org.codehaus.plexus:plexus-utils
org.apache.commons.fileupload.util,3,commons-fileupload:commons-fileupload
net.jodah.expiringmap,3,net.jodah:expiringmap
org.brickred.socialauth.plugin,1,org.brickred:socialauth
com.almasb.fxgl.pathfinding.maze,1,com.github.almasb:fxgl-entity
org.sonar.api.utils,15,org.codehaus.sonar:sonar-plugin-api
org.eclipse.collections.impl.block,2,org.eclipse.collections:eclipse-collections
org.snakeyaml.engine.v2.api,1,org.snakeyaml:snakeyaml-engine
org.apache.commons.compress.archivers.zip,16,org.apache.commons:commons-compress
org.apache.mahout.math.hadoop,1,org.apache.mahout:mahout-mr
org.xml.sax,11,com.neuronrobotics:JCSG
org.eclipse.jgit.api.errors,18,org.eclipse.jgit:org.eclipse.jgit
jline,6,jline:jline
lombok.extern,98,org.projectlombok:lombok
reactor.core,5,org.projectreactor:reactor-core
org.testng.annotations,114,org.testng:testng
jodd.http,4,org.jodd:jodd-http
org.keycloak.util,1,org.keycloak:keycloak-core
org.springframework.security.oauth2.provider.expression,3,org.springframework.security.oauth:spring-security-oauth2
oshi,17,com.github.oshi:oshi-core
org.eclipse.jgit.dircache,3,org.eclipse.jgit:org.eclipse.jgit
org.springframework.data.jpa.provider,2,org.springframework.data:spring-data-jpa
com.erudika.para.client,1,com.erudika:para-client
